name,free-places,date
autonomes frauenhaus rostock,0,2020-10-30
frauenschutzhaus stralsund,0,2020-10-30
frauenschutzhaus ribnitz-damgarten,0,2020-10-30
frauenhaus greifswald,0,2020-10-30
frauen- und kinderschutzhaus neubrandenburg,1,2020-10-30
frauenschutzhaus güstrow,1,2020-10-30
frauenhaus wismar,1,2020-10-30
awo frauenhaus schwerin,1,2020-10-30
frauenhaus ludwigslust,1,2020-10-30
schutzwohnung rügen,0,2020-10-30
autonomes frauenhaus rostock,0,2020-10-31
frauenschutzhaus stralsund,0,2020-10-31
frauenschutzhaus ribnitz-damgarten,0,2020-10-31
frauenhaus greifswald,0,2020-10-31
frauen- und kinderschutzhaus neubrandenburg,1,2020-10-31
frauenschutzhaus güstrow,1,2020-10-31
frauenhaus wismar,1,2020-10-31
awo frauenhaus schwerin,1,2020-10-31
frauenhaus ludwigslust,1,2020-10-31
schutzwohnung rügen,0,2020-10-31
autonomes frauenhaus rostock,0,2020-11-01
frauenschutzhaus stralsund,0,2020-11-01
frauenschutzhaus ribnitz-damgarten,0,2020-11-01
frauenhaus greifswald,0,2020-11-01
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-01
frauenschutzhaus güstrow,1,2020-11-01
frauenhaus wismar,1,2020-11-01
awo frauenhaus schwerin,1,2020-11-01
frauenhaus ludwigslust,1,2020-11-01
schutzwohnung rügen,0,2020-11-01
autonomes frauenhaus rostock,0,2020-11-02
frauenschutzhaus stralsund,0,2020-11-02
frauenschutzhaus ribnitz-damgarten,0,2020-11-02
frauenhaus greifswald,0,2020-11-02
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-02
frauenschutzhaus güstrow,1,2020-11-02
frauenhaus wismar,1,2020-11-02
awo frauenhaus schwerin,1,2020-11-02
frauenhaus ludwigslust,1,2020-11-02
schutzwohnung rügen,0,2020-11-02
autonomes frauenhaus rostock,0,2020-11-03
frauenschutzhaus stralsund,0,2020-11-03
frauenschutzhaus ribnitz-damgarten,0,2020-11-03
frauenhaus greifswald,0,2020-11-03
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-03
frauenschutzhaus güstrow,1,2020-11-03
frauenhaus wismar,0,2020-11-03
awo frauenhaus schwerin,1,2020-11-03
frauenhaus ludwigslust,1,2020-11-03
schutzwohnung rügen,0,2020-11-03
autonomes frauenhaus rostock,0,2020-11-04
frauenschutzhaus stralsund,0,2020-11-04
frauenschutzhaus ribnitz-damgarten,0,2020-11-04
frauenhaus greifswald,0,2020-11-04
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-04
frauenschutzhaus güstrow,1,2020-11-04
frauenhaus wismar,0,2020-11-04
awo frauenhaus schwerin,1,2020-11-04
frauenhaus ludwigslust,1,2020-11-04
schutzwohnung rügen,0,2020-11-04
autonomes frauenhaus rostock,0,2020-11-05
frauenschutzhaus stralsund,0,2020-11-05
frauenschutzhaus ribnitz-damgarten,0,2020-11-05
frauenhaus greifswald,0,2020-11-05
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-05
frauenschutzhaus güstrow,1,2020-11-05
frauenhaus wismar,0,2020-11-05
awo frauenhaus schwerin,1,2020-11-05
frauenhaus ludwigslust,1,2020-11-05
schutzwohnung rügen,0,2020-11-05
autonomes frauenhaus rostock,0,2020-11-06
frauenschutzhaus stralsund,0,2020-11-06
frauenschutzhaus ribnitz-damgarten,0,2020-11-06
frauenhaus greifswald,0,2020-11-06
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-06
frauenschutzhaus güstrow,1,2020-11-06
frauenhaus wismar,0,2020-11-06
awo frauenhaus schwerin,1,2020-11-06
frauenhaus ludwigslust,1,2020-11-06
schutzwohnung rügen,0,2020-11-06
autonomes frauenhaus rostock,0,2020-11-07
frauenschutzhaus stralsund,0,2020-11-07
frauenschutzhaus ribnitz-damgarten,0,2020-11-07
frauenhaus greifswald,0,2020-11-07
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-07
frauenschutzhaus güstrow,1,2020-11-07
frauenhaus wismar,0,2020-11-07
awo frauenhaus schwerin,1,2020-11-07
frauenhaus ludwigslust,1,2020-11-07
schutzwohnung rügen,0,2020-11-07
autonomes frauenhaus rostock,0,2020-11-08
frauenschutzhaus stralsund,0,2020-11-08
frauenschutzhaus ribnitz-damgarten,0,2020-11-08
frauenhaus greifswald,0,2020-11-08
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-08
frauenschutzhaus güstrow,1,2020-11-08
frauenhaus wismar,0,2020-11-08
awo frauenhaus schwerin,1,2020-11-08
frauenhaus ludwigslust,1,2020-11-08
schutzwohnung rügen,0,2020-11-08
autonomes frauenhaus rostock,0,2020-11-09
frauenschutzhaus stralsund,0,2020-11-09
frauenschutzhaus ribnitz-damgarten,0,2020-11-09
frauenhaus greifswald,0,2020-11-09
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-09
frauenschutzhaus güstrow,1,2020-11-09
frauenhaus wismar,0,2020-11-09
awo frauenhaus schwerin,1,2020-11-09
frauenhaus ludwigslust,1,2020-11-09
schutzwohnung rügen,0,2020-11-09
autonomes frauenhaus rostock,0,2020-11-10
frauenschutzhaus stralsund,0,2020-11-10
frauenschutzhaus ribnitz-damgarten,0,2020-11-10
frauenhaus greifswald,0,2020-11-10
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-10
frauenschutzhaus güstrow,1,2020-11-10
frauenhaus wismar,0,2020-11-10
awo frauenhaus schwerin,1,2020-11-10
frauenhaus ludwigslust,1,2020-11-10
schutzwohnung rügen,0,2020-11-10
autonomes frauenhaus rostock,0,2020-11-11
frauenschutzhaus stralsund,0,2020-11-11
frauenschutzhaus ribnitz-damgarten,0,2020-11-11
frauenhaus greifswald,0,2020-11-11
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-11
frauenschutzhaus güstrow,1,2020-11-11
frauenhaus wismar,0,2020-11-11
awo frauenhaus schwerin,1,2020-11-11
frauenhaus ludwigslust,1,2020-11-11
schutzwohnung rügen,0,2020-11-11
autonomes frauenhaus rostock,1,2020-11-12
frauenschutzhaus stralsund,0,2020-11-12
frauenschutzhaus ribnitz-damgarten,0,2020-11-12
frauenhaus greifswald,0,2020-11-12
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-12
frauenschutzhaus güstrow,1,2020-11-12
frauenhaus wismar,0,2020-11-12
awo frauenhaus schwerin,1,2020-11-12
frauenhaus ludwigslust,1,2020-11-12
schutzwohnung rügen,0,2020-11-12
autonomes frauenhaus rostock,1,2020-11-13
frauenschutzhaus stralsund,0,2020-11-13
frauenschutzhaus ribnitz-damgarten,0,2020-11-13
frauenhaus greifswald,0,2020-11-13
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-13
frauenschutzhaus güstrow,1,2020-11-13
frauenhaus wismar,0,2020-11-13
awo frauenhaus schwerin,1,2020-11-13
frauenhaus ludwigslust,1,2020-11-13
schutzwohnung rügen,0,2020-11-13
autonomes frauenhaus rostock,0,2020-11-14
frauenschutzhaus stralsund,0,2020-11-14
frauenschutzhaus ribnitz-damgarten,0,2020-11-14
frauenhaus greifswald,0,2020-11-14
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-14
frauenschutzhaus güstrow,1,2020-11-14
frauenhaus wismar,0,2020-11-14
awo frauenhaus schwerin,1,2020-11-14
frauenhaus ludwigslust,1,2020-11-14
schutzwohnung rügen,0,2020-11-14
autonomes frauenhaus rostock,0,2020-11-15
frauenschutzhaus stralsund,0,2020-11-15
frauenschutzhaus ribnitz-damgarten,0,2020-11-15
frauenhaus greifswald,0,2020-11-15
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-15
frauenschutzhaus güstrow,1,2020-11-15
frauenhaus wismar,0,2020-11-15
awo frauenhaus schwerin,1,2020-11-15
frauenhaus ludwigslust,1,2020-11-15
schutzwohnung rügen,0,2020-11-15
autonomes frauenhaus rostock,0,2020-11-16
frauenschutzhaus stralsund,0,2020-11-16
frauenschutzhaus ribnitz-damgarten,0,2020-11-16
frauenhaus greifswald,0,2020-11-16
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-16
frauenschutzhaus güstrow,1,2020-11-16
frauenhaus wismar,0,2020-11-16
awo frauenhaus schwerin,1,2020-11-16
frauenhaus ludwigslust,1,2020-11-16
schutzwohnung rügen,0,2020-11-16
autonomes frauenhaus rostock,0,2020-11-17
